s | Zwei Themen die Perot immer wieder anspricht Rezession und Bürokratie | machen | ihnen besonders zu schaffen
s | er | versucht | die Vorgeschichte des Stücks zu bebildern
s | die Werrataler | begannen | die Ställe für eine artgerechte Tierhaltung umzubauen
s | das | verstand | zu schätzen was ihm geboten man hatte
o | kaum etwas | ließ | zu wünschen
s | die Schüler | pflegten | an deren Inventar ihre Zerstörungswut auszulassen
s | der Christdemokrat | weiß | die Interessen des mit knapp 400 000 Einwohnern kleinsten EU-Staats wirkungsvoll zur Geltung zu bringen und damit auch sein eigenes politisches Gewicht zu mehren
s | Der prinzipiell kritisch über allen Parteien schwebende Spiegel | wußte | zu berichten Es daß Deng kam war höchste Zeit
o | vieles | läßt | zu wünschen
s | Die Parteiführung | beschloß | ausgewählte Experimentierfelder Sonderwirtschaftszonen SWZ in denen zu günstigen Konditionen für den Export produzieren und über die chinesische Beteiligung Devisen erwirtschaften ausländisches Kapital sollte einzurichten
s | Die reich gewordenen Provinzen | weigern | mehr Mittel an die Zentrale und die unterentwickelten Regionen abzuliefern
o | ihren Regierungs- und Staatschefs | empfehlen | den Plan auf ihrem Gipfeltreffen am Sonntag anzunehmen
s | Die enttäuschten Gastgeber | versuchen | den Schaden zu begrenzen
s | die | versteht | sonst jeden Unmut auf SPD-Parteitagen zu zügeln
s | kaum noch jemand | wagte | die vor Mannheim zu hegen
s | del Monaco | verpflichtet | sich Kürzungen nicht zu verschließen
s | die Stadt | erwäge | die nächste Instanz anzurufen
s | sie | seien | bestimmte Töne herauszufiltern
s | die Industrie | sei | leistungsfähige digitale Hörgeräte im Kleinstformat zu produzieren
s | Gingrich | versprochen | den US-Haushalt bis zum Jahre 2002 von Schulden freizumachen
s | Gingrich | versucht | sein Programm vor allem auf Kosten der sozial Schwachen des unteren Mittelstands und der älteren Menschen zu finanzieren
s | er | schätzt | in der kommenden Periode wieder ein Ergebnis vor Steuern in Höhe von 100 bis 120 Millionen Mark ausweisen zu können
s | auch alle Telekom-Kunden | bekommen | Das bald zu spüren
s | Die Behörden | zugesagt | den Beschwerden über schlechtes Essen und Überbelegung nachzugehen
s | die | versuchten | durch den Tunnel zu entkommen
s | das Gefängnispersonal | geweigert | in die Justizvollzugsanstalt zurückzukehren
s | man | versucht | dies durch eine andere Gestaltung zu ändern
o | die ganze Partei | fordert | Oskar Lafontaine uneingeschränkt zu unterstützen
s | Lafontaine | aufgefordert | als Parteichef zu kandidieren
s | er | kündigte | auch gegen einen neuen Beschluß des Kongresses über eine Zwischenfinanzierung des Haushaltes sein Veto einzulegen
s | Clinton | verpflichtet | den Bundeshaushalt in sieben Jahren schuldenfrei zu machen
s | Die Führer der Republikaner im Abgeordnetenhaus und im Senat Newt Gingrich und Bob Dole | zeigten | das Veto des Präsidenten überstimmen zu können
s | Er | verlangte | sich endlich auf einen Personalvorschlag zu einigen
s | Er | versuchte | zwischen den unterschiedlichen Anträgen für den künftigen Wirtschaftskurs der Partei eine Verbindung herzustellen
o | den Text | kritisierte | die Demokratie totzusparen
s | Apotheken | autorisiert | billigere als die vom Arzt verschriebenen Medikamente zu verabreichen
o | den anderen Arbeitnehmerorganisationen | warf | verantwortungslos zu handeln
o | die Partei | forderte | Lafontaine uneingeschränkt zu unterstützen
o | den Bundesgerichtshof | veranlaßt | die jahrelange eigene Rechtsprechung als folgenschweres Versagen zu brandmarken
s | Sie | bekam | wie schon vor vier Wochen in der Bundestagsfraktion die in der Partei verbreitete Unzufriedenheit mit ihrer außen- und europapolitischen Arbeit zu spüren
s | purer Egoismus | gebiete | Das Artensterben zu bremsen
s | Engholm selbst | eingeräumt | eine Woche vor der Landtagswahl im September 1987 informiert worden zu sein
o | Den Ausschußvorsitzenden | warfen | den juristischen Grundsatz Im Zweifel für den Angeklagten nicht genügend berücksichtigt und ihre Feststellungen auf Plausibilitäten gestützt zu haben
o | Das | berichten | ohne Gründe für den Schritt anzugeben
o | den UN-Mitgliedstaaten | warf | mit der Resolution wertvolle Zeit zu verschwenden
o | der Zeitschrift | hielt | bei dem Test grobe handwerkliche Fehler begangen zu haben
o | Bundesverkehrsminister Matthias Wissmann CDU | forderten | sich nachdrücklich für eine Anhebung der Bußgeldgrenzen von 400 Mark auf 3000 Mark einzusetzen
o | Regierungen und Unternehmen | aufgefordert | auf die Junta in Nigeria Druck auszuüben um weitere inhaftierte Bürgerrechtler des Ogoni-Volkes zu schützen
s | die deutsche Chemie-Industrie | verpflichtet | die Giftbelastung des Rheins bis zur Jahrtausendwende weiter zu senken
o | die Regierung | forderte | alles Nötige zu veranlassen damit die Präsidentschaftswahlen im Dezember friedlich vonstatten gingen
s | Der von einem Mordaufruf bedrohte Schriftsteller Salman Rushdie | gehindert | an einer Buchmesse teilzunehmen
o | Frankreich | beschuldigte | massiven Druck ausgeübt zu haben
o | die Kamikaze-Fahrer | anzuspornen | einen persönlichen Rekord aufzustellen
o | dem Fahrgast | ermöglicht | gleichzeitig aber auch bei einer Vollbremsung sich platt an der Frontscheibe wiederzufinden
s | sie | vergessen | den Obolus um den der Pfarrer bittet zu entrichten
s | Sie | angewiesen | Nährstoffe zu suchen
s | niemand | wußte | eine von allen Seiten akzeptierte Lösung vorzuschlagen
s | Touristen | gewöhnt | ihr Urlaubsziel ohne Privatwagen zu erreichen und am Urlaubsort ohne Wagen auszukommen
s | Penrose | kommt | einige grundlegende physikalische Theorien zu erläutern und zu benutzen sowie sich einer mathematisch-logischen Struktur zu bedienen
o | Politik und Öffentlichkeit | zwingt | sich mit dem Atomwaffenproblem erneut auseinanderzusetzen affektfreier und nüchterner als bislang
s | er | beginnen | von der Wirkung unangestrengter Harmonie zu erzählen
s | Alle wir | meinen | zu wissen was eine Nachricht ist
s | er | versuchte | Seine fachliche Inkompetenz mit Gesten der Belehrung und Bevormundung zu kaschieren
s | wir | lernen | die Bewegungen zu deuten
s | Sie | schlugen | die Rationen sofort zu erhöhen
s | Ich | hoffe | die beiden in einem Reiseprospekt abgebildet niemals zu finden
s | Sie | glauben | unbedingt nach Vanuatu reisen zu müssen
o | ihr | untersagt | Einen Job anzunehmen
o | die Schulmediziner | forderte | sich mit der inneren Logik der unkonventionellen und der Para-Medizin zu befassen um die dahinterstehenden Fragen der Patienten aufnehmen zu können
s | Peter F. Matthiessen von der Gemeinschaftsklinik der Universität Witten- Herdecke | forderte | nicht den Tumor alleine sondern den Kranken insgesamt zu betrachten
o | ihm | warf | den Realismus Dostojewskis und seinen alle Schichten der russischen Gesellschaft repräsentierenden Stil mißdeutet zu haben
s | sie | verpflichtet | die sozialen Leistungen die es beim Staat gibt anzubieten
o | die Leitung der Organisierten Gondoliere | bewogen | jetzt sogar ein eigenes Ehrengericht einzurichten
s | Kenner der Popbranche | glauben | indes den wahren Grund für die Frischzellenkur der alten Popstars erkannt zu haben
o | Lafontaine | rief | sein Verhältnis zu Ostdeutschland klarzustellen
s | der | wußte | zu schweigen und zu warten
s | welche | versteht | die strategische Intelligenz einer dramaturgisch zugespitzten Situation politisch nicht zu deuten
s | Der Aufsichtsrat der amerikanischen Linie | beschlossen | die Beteiligungen auf 19 Prozent zu begrenzen
s | Sie | appellieren | Druck auf die Regierung ihres Heimatlandes auszuüben
s | beide Seiten | vereinbart | die gesamten Verbindlichkeiten Rußlands bei westlichen Banken langfristig umzuschulden
s | Verteidigungsminister Rühe | forderte | die Strukturreform der Nato sofort einzuleiten um wie geplant 1997 mit den Reformstaaten Osteuropas über ihren Beitritt verhandeln zu können
o | Polizei und Feuerwehr | vorgeworfen | zu spät mit den Rettungsmaßnahmen begonnen zu haben
s | die | versicherten | die Feuerwehr schon mindestens eine halbe Stunde vorher alarmiert zu haben
o | Lafontaine | forderte | möglichst bald in Ostdeutschland aufzutreten
o | den neuen Partei-Chef | rief | sein Verhältnis zu Ostdeutschland zu klären
s | Kwasniewski | gab | höhere Schulbildung zu besitzen
o | die SPD-Bundestagsfraktion | ermächtigte | einer Beteiligung der Bundeswehr an einer Friedensmission der Vereinten Nationen für Bosnien in vollem Umfang zuzustimmen
s | die SPD | gezwungen | die deutsche Beteiligung an einer Friedenssicherung abzulehnen
o | den Menschen in Ostdeutschland | versprach | sich vorrangig um ihre Sorgen kümmern zu wollen
o | alle Mitglieder | rief | den Neubeginn zu unterstützen
s | Alexij II. | versucht | dagegenzuhalten
s | das Weißbuch zu Wachstum Wettbewerbsfähigkeit und Beschäftigung des damaligen EU-Kommissionspräsidenten Jacques Delors | versprach | die Arbeitslosigkeit um die Hälfte zu verringern
s | Spaniens Ministerpräsident Felipe González Gastgeber des baldigen EU-Gipfels | versprach | sich dafür einzusetzen
o | den Präsidenten | verpflichtet | seine Beteuerungen der Öffnung wahrzumachen einen echten Dialog zu beginnen und Parlamentswahlen die nicht mehr boykottiert werden zu organisieren
s | die Wahlhelfer ihres Kandidaten | gehindert | die Auszählung von Stimmen zu kontrollieren
o | die SPD-Bundestagsfraktion | ermächtigte | einer Beteiligung der Bundeswehr an einer Friedensmission der Vereinten Nationen für Bosnien in vollem Umfang zuzustimmen
s | die SPD im Bundestag | gezwungen | die deutsche Beteiligung abzulehnen
o | den Menschen in Ostdeutschland | versprach | sich vorrangig um ihre Sorgen kümmern zu wollen
o | alle Mitglieder | rief | den Neubeginn zu unterstützen
o | die Regierung | forderte | alles Nötige damit die Präsidentschaftswahlen im Dezember friedlich verlaufen zu veranlassen
s | Die Abgeordneten | gefordert | die Mittel für die Fischereipolitik den Ausbau der transeuropäischen Verkehrsinfrastruktur sowie die Hilfe für den südlichen Mittelmeerraum zu kürzen
s | der UN-Unterhändler Mahmoud Mestiri | versuche | die Menschen zu täuschen und die Herrschaft der Regierung unter Präsident Burhanuddin Rabbani zu verlängern
s | der jüdische Historiker Michael Wolffsohn | mahnte | über Protesten gegen Umweltgefährdung nicht die von Krieg und Gewalt gefährdeten Menschen zu vergessen
s | Die Lehre der Geschichte | laute | die Lebenden zu schützen
s | Der Präsident des Volksbundes Hans-Otto Weber | appelliert | der Opfer von Krieg und Gewaltherrschaft zu gedenken und zu verhindern daß gleiches wieder geschehe
s | Drei Amerikaner | angeklagt | am 4. September ein zwölfjähriges Mädchen in einem Mietwagen entführt und brutal mißbraucht zu haben
o | der Bundesregierung | vorgeworfen | untätig zuzusehen wie Umweltaktivisten zum Boykott gegen den Import von Tropenholz aufrufen
o | den Kanzler | forderte | nach Rückkehr von seiner Ostasienreise der deutschen Öffentlichkeit ungeschminkt und umfassend Rechenschaft darüber was mit den Machthabern in China und den Militärs besprochen er habe abzulegen
o | die USA Großbritannien und China | rief | ein Ölembargo gegen Nigeria zu unterstützen
s | Ein arbeitsloser argentinischer Kriegsveteran | versucht | die Schulgebühren seines Sohnes mit drei Tapferkeitsmedaillen aus dem Falklandkrieg von 1982 zu bezahlen
o | ihre Delegation in Dayton | forderten | jeden nachteiligen Vertrag abzulehnen
o | dem Regisseur | empfahlen | lieber als zu einer amerikanischen Major Company zu einem deutschen Konkurrenten zu gehen
o | mir | gemacht | zu schaffen
s | Du | versuchst | nett auszusehen
s | Der US-amerikanische Hauptankläger Robert Jackson | versuchen | in Worte zu fassen was die Welt erschütterte und in Deutschland einen ersten Schock hinterlassen wird
s | der Reformer Herbert Mai | anschickte | das Ruder in der Gewerkschaft Öffentliche Dienste Transport und Verkehr ÖTV zu übernehmen
s | die | verstehen | gut zu leben
s | Die Gewerkschaften aber | tun | auf den neuen Typus des Arbeitnehmers zuzugehen und das neue Reservoir zu erschließen
s | Ausländische Touristen | fangen | das Bürgerkriegsland zu meiden
s | der Australian Council of Trade Unions ACTU | versucht | den in der Wirtschaft zunehmenden Trend zu direkt zwischen Arbeitgebern und -nehmern ausgehandelten Einzelverträgen aufzuhalten
o | ihnen | werfen | durch überhöhte Lohnforderungen und die Erzwingung unrealistischer Arbeitsbedingungen stark zu den Wirtschaftsproblemen des Landes beigetragen zu haben
s | Die Reformer an der Parteispitze | aufhören | schlichte Tatsachen daß es neben Opfern auch Täter gab daß nicht jedes Verhalten gedeckt vom Recht auf die eigene Biographie sein kann hinter rhetorischem Nebel zu verstecken
o | einen ordentlich bestallten US-Bundesrichter wie Robert Jackson | bewog | eine beschlagnahmte Unterkunft im zerstörten Nürnberg zu beziehen
s | Die Christdemokraten deren Landesvorsitzender Christian Wulff das Thema ursprünglich für die Landespolitik entdeckt hatte | beschlossen | die Reform abzulehnen
s | die | versuchen | das Wirken der Wehrmachtsjustiz zu relativieren
s | er | versuchte | das Fundament seines Handelns mit dem Hinweis dieser Prozeß sollte der Nachwelt so als erfüllte er das Sehnen des Menschen nach Gerechtigkeit vorkommen zu untermauern
s | Er | versprach | die Kooperation innerhalb der Apec mit umgerechnet 150 Millionen Mark zu fördern
s | alle Teilnehmerstaaten | versprechen | auf der wirtschaftlichen Ebene enger zusammenzuarbeiten
s | die Apec-Entwicklungsländer | verpflichtet | bis 2020 nachzuziehen
o | dem Ministerpräsidenten Oskar Lafontaine | warf | mit seiner Finanzpolitik im Lande ebenso wie mit seiner Stahl- oder Wirtschaftspolitik gescheitert zu sein
s | Nachbarn der Obdachlosenunterkunft | behauptet | die Feuerwehr schon gegen 0.30 Uhr alarmiert zu haben
o | ihnen | zusagte | ihre Forderungen erfüllen zu wollen
o | die US-Umweltschutzverbände | forderte | massiv gegen die Politik der Republikaner im US-Kongreß vorzugehen
s | er | beschuldigt | von Pakistan aus Anschläge so auch das fehlgeschlagene Attentat auf Mubarak Ende Juni in der äthiopischen Hauptstadt Addis Abeba organisiert zu haben
o | ihm | erlaubt | schärfere Konturen zu zeigen
s | die | geglaubt | Clinton in die Knie zwingen in der Haushaltsfrage mühelos zu können
s | er | habe | 1996 Sicherheitsfragen auf die Tagesordnung zu setzen
s | Washington | erklärt | in den kommenden Monaten nicht an Verhandlungen über neue Mittel teilzunehmen
s | Weltbank-Präsident James Wolfensohn | appellierte | ihren Verpflichtungen als drittgrößter Geber nachzukommen
s | ein liberaler Komilitone | meint | sich zu erinnern daß er sich für seine Parteizugehörigkeit zunächst sogar schämte
s | Die Fundamentalistenbewegung Hamas | kündigte | sich als politische Partei etablieren und am 20. Januar an der Wahl eines Selbstverwaltungsrates für die Autonomiegebiete teilnehmen zu wollen
o | die USA Großbritannien und China | rief | ein Ölembargo zu unterstützen
s | Frankreichs Außenminister Hervé de Charette | angekündigt | die mangelnde Solidarität der europäischen Partner am heutigen Montag in Brüssel zur Sprache zu bringen
s | Kuczkowski | glaubt | das Ergebnis auf hohem Niveau halten zu können
s | Vogel-Verteidiger Volker Hoffmann | kündigte | die Zulassung der Anklage verhindern zu wollen
s | Der Aufsichtsrat von Thyssen | betonte | an Vogel als Vorstandschef festzuhalten solange die Anklageschrift keine neuen Tatbestände enthalte
o | die Piloten | bitten | zur Kenntnis zu nehmen daß ihre gegenwärtige Bezahlung höher als die anderer europäischer Piloten ist
o | das Kontrollgremium | gebeten | ihn von seinen Vorstandspflichten zu entbinden
s | das Institut | vorhaben | die Aktien nach dem Erwerb privat zu plazieren
s | einige Leute | begannen | lange Glasröhren aus den Hütten in Heimarbeit unter Öllampen wieder zu schmelzen und so vor allem Perlen herzustellen später auch Glasspielzeug und Früchte
s | der ehemalige Chef der Gesellschaft für Geld- und Kapitalverkehr | räumte | das Fränkische Überlandwerk um 183 Millionen Mark geprellt zu haben
s | Verstynen | versucht | das Haus von negativen Schlagzeilen frei zu halten
s | Manager Verstynen | bemühe | die Mannschaft zu motivieren und ihr Mut zu machen
s | die Schwankungsbreite | fügen | Dabei allerdings auf 3550 bis 4750 Punkte zu taxieren
s | die Mitgliedsländer | beschlossen | das Fonds-Kapital um 45 Prozent oder rund 80 Milliarden Dollar aufzustocken
s | Hannes Walther der Geschäftsführer der staatlichen Manufaktur | gibt | diese durchsetzen zu können
s | Er | trete | auch jede zweite Stelle abzubauen
s | Auch die Belegschaft | bekam | den Konsolidierungskurs zu spüren
o | das Management der zur BHF-Bank gehörenden Gruppe | fordert | unwahre und rufschädigende Äußerungen künftig zu unterlassen
o | dem Kaufinteressenten | verbot | die Prüfung der angeschlossenen Firmen fortzusetzen
s | Auch IBM | lädt | Messe-Flair am eigenen Bildschirm zu erleben
s | Gates | versucht | auf dem Feld den Anschluß nicht zu verpassen und mit dem Trio Silicon Graphics Netscape und Apple mitzuhalten
s | der SPD-Politiker | habe | Wegen Unstimmigkeiten mit dem einstigen Bürgermeister Klaus Wedemeier ihn 1993 mit Erfolg aufgefordert nicht wieder für den Gremienvorsitz zu kandidieren
o | zahlreiche Bundesbürger | motiviert | nach der beruflichen Karriereleiter zu greifen
s | Andere europäische Schienenunternehmen | entschieden | das System zu übernehmen und den grenzüberschreitenden Verkehr dadurch zu vereinfachen
s | Die Kürzung der Lufthansa-Provisionen bei Inlandsflugtickets von neun auf fünf Prozent zum 1. Juli | machen | Euro Lloyd zu schaffen
s | die Aktionäre | aufgerufen | die neue Konzernstruktur abzusegnen
s | wir | gezwungen | die soziale Verelendung hinzunehmen
o | die Mitglieder des Euro-Clubs | verpflichtet | übermäßige Defizite zu vermeiden
s | die Mitgliedstaaten | verpflichten | mittelfristig einen nahezu ausgeglichenen Haushalt oder gar einen Etatüberschuß anzustreben
s | die Gemeinschaft | gelernt | auch größere Stolpersteine beiseite zu räumen
s | Der Sitz der Europäischen Zentralbank | erwägen | den letztmöglichen Zeitpunkt für die Umstellung auf den Euro zu wählen
s | Er | zeigte | die notwendige Genehmigung der europäischen Kartellbehörden rechtzeitig zu erhalten
s | Stocker | entscheidet | die Produktion nicht einzustellen sondern seine Laibe weiterhin anzubieten ergänzt durch einen Aushang Vollkornbrot 50 Becquerel alle anderen nur geringe einstellige Belastungswerte
s | eher die Nachbarn | wissen | Die schallgedämpften Lüftungsanlagen zu schätzen
o | Bauern | überzeugt | auf ökologischen Anbau nach den Kritierien des Naturland-Verbands umzustellen
o | auch den Münchnern | macht | zu schaffen
s | Sie | befürchten | von den mächtigen Konzernen wie RWE Energie Preussenelektra Bayernwerk und Co. an die Wand gedrängt wenn es künftig keine Demarkationsverträge und Ausschließlichkeitsklauseln in Konzessionsverträgen mehr gibt zu werden
s | die Verbundunternehmen | verpflichtet | allein den Stadtwerken den Strom für die Kunden in deren Versorgungsgebiet zu verkaufen
s | Sie | helfen | Differenzen unbürokratisch und schnell aus dem Weg zu räumen
s | Ich | hoffe | auch aus der Direktion des EWI ein Team machen zu können
s | Der Ausbau von Fracht-Terminals der Bahn | helfen | innerdeutsche Sendungen zu bündeln um sie dann gemeinsam weiter zu transportieren
s | Ein französisches Gericht | verlangt | vor dem Produktionsstopp in Belgien Gespräche mit dem Euro-Betriebsrat aufzunehmen
s | er | schlug | allen Russen einen fünf Jahre gültigen Steuerpaß für den es keine rechtliche Grundlage gibt auszustellen
s | die Regierung | beschlossen | Kulikow und Tschubais gemeinsam mit dieser Aufgabe zu betrauen
s | das Forschungsministerium | versprochen | den Raumfahrt-Haushalt auf 2,2 Milliarden Mark per annum anzuheben
s | der | versuchte | an der Vorrangstellung des Clans zu rütteln
s | auch die Labour Party | gelobt | die beizubehalten
s | Blair | beschloß | die roten Ecken der Vergangenheit gründlich abzuschleifen
s | Wohnungsexperten unterschiedlicher politischer Couleur | fordern | Die steuerlichen Subventionen dort auf den Prüfstand zu stellen
s | Staatssekretärin Christa Thoben | versucht | die positiven Effekte herauszustellen
s | Die Unternehmen | seien | längere Sperrungen durch verbesserte Leistungen im Laufe des Jahres wieder hereinzuholen
s | die Politiker | versuchen | die Währungsunion rücksichtslos durchzupauken
s | er | fordert | die Regelaltersgrenze von derzeit 65 Jahren bis 2005 auf 67 zu erhöhen und zugleich das Standardrentenniveau stufenweise auf 65 Prozent zu senken
o | allen Kindergeldberechtigten | rät | Einspruch gegen den Steuerbescheid 1996 einzulegen
s | Deutschland | sei | um Defizite bei den Dienstleistungen wie Reiseverkehr und im Kapitalverkehr auszugleichen
o | die Parteien | fordert | sich auf eine Steuerreform zu einigen damit die Exportdynamik endlich auch zu mehr Investitionen und Arbeitsplätzen in Deutschland führe
o | die Unternehmen | fordert | sich noch stärker den Märkten in Asien zuzuwenden
s | Müller | forderte | die Fahrzeugstudie Signum als Topmodell in Rüsselsheim zu bauen
s | Apple | kündigte | innerhalb von zwölf Monaten 2700 Stellen zu streichen
s | Sie | schlagen | bestehende Programme zu einem Fonds zusammenzufassen
o | den CDU-Politiker | fordert | Theo Waigel Paroli zu bieten
s | die Gruppen | seien | gemeinsam zu europaweiten Aktionen anzusetzen
s | Er | beschränken | besser Situierten zu einem Eigenheim zu verhelfen und die Problemfälle auf die Länder und vor allem auf die Kommunen abzuwälzen
s | Der Verwaltungsrat der Bundesanstalt für vereinigungsbedingte Sonderaufgaben BvS | beschlossen | die Arbeitsfähigkeit der BvS auch über 1998 hinaus zu sichern
o | die Bundesregierung | fordert | binnen eines Monats für Klarheit zu sorgen
o | Elf | eingeräumt | 33 Prozent an Mider zu übernehmen sofern sich dafür kein Investor findet
s | Wagner | erwartet | 1997 nahtlos an die erfolgreichen Vorjahre anknüpfen zu können
o | die niedergelassenen Mediziner | gewarnt | ihre Patienten unter Druck zu setzen
s | das Unternehmen | plant | das Instrument Optionen auch in Deutschland für alle Beschäftigten und ihr Management einzusetzen
s | es | erwägt | eigene Aktien zurückzukaufen wenn dies hierzulande rechtlich möglich wird
s | Sie | überlegen | zudem die Kontrollinstanz Compliance Officer einzusetzen
s | er | bemüht | den Anschein von Transparenz zu wecken
s | sie | versäumt | ihn herauszuhalten als es an den Finanzmärkten Brei regnete
s | Die freien Aktionäre | forderten | Vorstand und Aufsichtsrat die Entlastung zu verweigern
o | den Aktionären | empfahl | die Entlastung Ebelings und des mit drei Millionen Mark abgefundenen Vorstands Jürgen Pahl zu vertagen
s | Dies | interpretieren | es nicht zu übertreiben
s | Das Geldinstitut | entschieden | beide Kartenprogramme bei einem Processor zu konzentrieren
s | ein erster Entwurf für eine entsprechende US-Regelung | erlaubt | ausländischen Bewerbern eine Telefonlizenz ohne klare Begründung zu verweigern
o | die USA | ruft | den Entwurf der Regelungen zu überdenken
s | Die zuständige Stelle jenseits des Atlantik | vorgeschlagen | eine Telefonlizenz verweigern aufgrund eines nicht näher erläuterten öffentlichen Interesses zu können
s | die Staatengemeinschaft | geeinigt | die Märkte für Telekommunikation zu öffnen
s | die | versucht | Lastwagen am Verlassen des Geländes zu hindern
s | das Management | angekündigt | 140 jüngere Kräfte neu einzustellen
o | die rund 300 anwesenden Aktionäre | forderte | der Verschmelzung mit Heidelberger Druckmaschinen zuzustimmen
s | die Hamburger | drängen | um die Zeitschriften zu stärken und neue Erlösquellen zu erschließen
s | das Land als hervorragende Schuldneradresse | entschieden | mit einer eigenen großvolumigen Anleihe besonders europäische Investoren anzusprechen
s | Deutschland | versucht | mit den Staaten Zentralasiens ins Geschäft zu kommen
o | die Regierung | bat | Stolpersteine für ein Engagement deutscher Firmen aus dem Weg zu räumen
o | allen Haltern | raten | vor einer längeren Abwesenheit dem Nachbarn oder einer anderen Vertrauensperson ihren Wagenschlüssel zu überlassen
o | den Bayern | helfen | sich nach dem Zusammenschluß auf dem zweiten Platz unter den hiesigen Kreditinstituten zu behaupten
s | Die Chefs der Geldhäuser | bemühten | diesen Eindruck zu verwischen
s | Der IWF | verlangt | in dem heute beginnenden Haushaltsjahr einen Überschuß von einem Prozent des Staatsbudgets zu erreichen
s | Die Gesellschafter von Novum | verpflichteten | als Treuhänder der Zentrag zu handeln
s | die | versuche | die Gelder beiseite zu schaffen
s | Sie | hoffen | mit dem Staat nur als Minderheits-Eigentümer einen höheren Emissionspreis durchsetzen zu können
s | Sie | appelliert | dafür daß diese Aufgabe von 1998 an wieder ohne Einschnitte fortgeführt werden könne zu sorgen
s | er | betont | möglichst bald die Verhandlungen über eine neue Standortvereinbarung wieder aufnehmen zu wollen
s | die US-Regierung | versucht | den Abschluß des Vertrages zu verhindern
s | Werner Siemens | versucht | Auch die Beschäftigten einzubinden
s | Bachmann | versucht | die Bundesanstalt für Angestellte und die Politik für einen Börsengang zu gewinnen
s | Japan | zugesagt | amerikanischen Reedern den Hafenzugang zu erleichtern
o | sie | verpflichtet | unter anderem dafür daß amerikanische Transporteure in ausländischen Häfen mit unfairen Gebühren belegt weder noch durch Vorschriften behindert werden zu sorgen
o | die USA | drängen | die Strafen aufzuheben
s | Berater | versuchen | sie zur Aufnahme einer neuen Grundschuld als Sicherheit für zusätzliche Kredite zu bewegen
s | Die Kammern | raten | vor Abschluß solcher Anlagegeschäfte Experten ihrer Hausbank Verbraucherschützer oder einen Rechtsanwalt zu konsultieren
o | die Beteiligten | fordert | im Rahmen der Möglichkeiten alles dafür die Arbeitsplätze in der Hauptverwaltung zu halten zu tun
s | Analysten in den Banken | versuchen | die beiden Firmenwerte die für das Verhältnis des kommenden Tauschangebots der Aktien entscheidend sind abzuschätzen
s | auch die ARD | entschlossen | die einheitliche Digital-Plattform von Bertelsmann Telekom und Kirch zu nutzen
s | Der Vorstand | glaubt | die meisten Stellen sozialverträglich abbauen zu können
s | Die Hamburger | planen | die Geschäfte mit einer Verkaufsfläche von gut 200 000 Quadratmetern auf ihre Vetriebslinien umzustellen
s | auch die Hessen | bekommen | Die Flaute der Branche die per Ende August ein Umsatzminus von preisbereinigt sieben Prozent hinnehmen mußte zu spüren
s | die Hessen | versuchen | mit ihren Flurförderzeugen möglichst viele Aufträge zu stapeln
o | die Geschäftsführung | veranlaßt | den Schutz der Vergleichsordnung zu suchen
s | der Technologie-Konzern IPC aus Singapur | angekündigt | seine Beteiligung an dem deutschen Unternehmen um 37,5 auf 75,1 Prozent aufstocken zu wollen
s | der Ministerrat | entschieden | die Läden zu schließen
o | die Regierung | forderte | sich für den Erhalt des steuerfreien Einkaufs in Brüssel einzusetzen
s | Monti | verspricht | Lösungen für Probleme in bestimmten Regionen zu prüfen
o | Den Duty-Free-Lobbyisten | wirft | angeblich im Interesse des kleinen Mannes zu agieren in Wirklichkeit aber in die eigene Tasche zu wirtschaften
s | die MG | genötigt | auf Erfolge hinzuweisen
s | Das Baugewerbe | bekommen | die Abschaffung der degressiven Abschreibung für Wohngebäude zu spüren
s | Konzernchef Roger Enrico | erwägt | den hauseigenen Restaurant-Ausstatter Pepsico Food Systems zu verkaufen
s | Der Abgeordnete Albert Schmidt von Bündnis 90 Die Grünen | versucht | seiner Pflicht als Parlamentarier nachzukommen und die Regierung zu kontrollieren
o | das Bundesministerium für Verkehr | verpflichtet | regelmäßig seine Bedarfspläne der eingetretenen Wirtschafts- und Verkehrsentwicklung anzupassen
s | man | versuchen | eine Stiftung zu gründen um die Einrichtung auf ein dauerhaftes Kapital-Fundament zu stellen
o | den Europachef des Anlagenbau- und Elektrokonzerns Eberhard von Koerber | aufgefordert | die Staatsanwaltschaft einzuschalten
s | Der Ordnungsdienst der Verkehrsbetriebe | angewiesen | großzügig zu verfahren wenn sich in den B-Ebenen aufwärmen Obdachlose wollten
s | Delta Air Lines | geweigert | zehn übergewichtige Flugbegleiter der Fluggesellschaft einzustellen
o | ihn | forderten | künftig auf das Rauchen zu verzichten
s | Ida Mauss Ehefrau des deutschen Privatagenten Werner Mauss | appelliert | Frieden mit der kommunistischen Guerilla zu schließen
o | das Parlament | aufgefordert | die Höchststrafe in lebenslange Haft umzuwandeln
s | Der ÖAMTC | erwog | seine Pickerl-Läden zu schließen
o | die UN-Mitglieder | ermutigen | ihre Verpflichtungen gegenüber den UN zu erfüllen
o | ihm | wirft | in Reden zu dem Massenmord aufgefordert und Massaker organisiert zu haben
s | Japan | versuchen | sich freizukaufen
s | Zajedno | beschloß | seine Abgeordneten aus Serbiens Parlament abzuziehen
s | Kohnert | riet | abgedrehte Heizungen auf Frostsicherung zu stellen um ein Platzen der Rohre zu verhindern
